Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
13-Oct-25,14058.35,14106.3,14034.6,14092.25,2.12E+09,45710.01
14-Oct-25,14124.7,14139.95,13991.9,14031.95,1.84E+09,50422.9
15-Oct-25,14058.45,14171.7,14055.75,14153.15,1.75E+09,56076.97
16-Oct-25,14192.35,14293.45,14181.65,14274.35,1.64E+09,61701.05
17-Oct-25,14260.7,14352.85,14241.95,14304.6,1.91E+09,66611.54
20-Oct-25,14367.55,14418.1,14345.95,14377.25,1.69E+09,55961.14
21-Oct-25,14420.2,14434.4,14369,14391.75,4.01E+08,8005.11
23-Oct-25,14482.25,14506.85,14378.55,14396.4,2.65E+09,73579.85
24-Oct-25,14420.75,14424.6,14312.55,14351.4,1.84E+09,48511.2
27-Oct-25,14385.4,14462.1,14373.35,14447.6,4.18E+09,53575.06
28-Oct-25,14445.85,14483.85,14364.15,14425.7,2.75E+09,69738.02
29-Oct-25,14450.75,14526.95,14436.85,14514.55,2.29E+09,66455.71
30-Oct-25,14498.8,14511.4,14420.9,14440.65,3.67E+09,59078.03
31-Oct-25,14441.15,14483.45,14355,14362.3,2.24E+09,63645.78
3-Nov-25,14360.05,14435.65,14342.6,14416.35,3.58E+09,54839.14
4-Nov-25,14412.3,14427.35,14324.05,14333.45,2.47E+09,61922.78
6-Nov-25,14338.05,14364.55,14242.5,14251,1.86E+09,66727.87
7-Nov-25,14207.85,14291.85,14124.6,14262.45,2.24E+09,71125.34
10-Nov-25,14276.3,14355.65,14276.3,14313.3,1.49E+09,52127.8
11-Nov-25,14335.95,14383.7,14237.1,14375.15,2.96E+09,57841.61
12-Nov-25,14447.45,14495.75,14425.35,14467.15,2.18E+09,65355.48
13-Nov-25,14484.05,14534.5,14435.2,14460.55,2.48E+09,59380.28
14-Nov-25,14417.95,14487.6,14392.9,14472.6,2.42E+09,62636.09
17-Nov-25,14503.55,14548.1,14484.1,14541.45,1.97E+09,50753.59
18-Nov-25,14549.65,14551.95,14455.4,14472.15,1.60E+09,54386.39
19-Nov-25,14476.85,14543.35,14438,14531.85,1.46E+09,49438.76
20-Nov-25,14579.2,14620.4,14542.75,14583.8,1.64E+09,50172.38
21-Nov-25,14546.7,14565.65,14473.85,14481.5,1.54E+09,48653.42
24-Nov-25,14505.35,14512.85,14392.5,14412.85,2.29E+09,106216.7
25-Nov-25,14429.65,14459.1,14385.75,14398.65,1.47E+09,49123.82
26-Nov-25,14392.5,14588.85,14392.5,14582.5,1.27E+09,53124.72
27-Nov-25,14615.1,14626.05,14541.95,14585.35,1.45E+09,46636.87
28-Nov-25,14597.1,14611.7,14561.85,14579.35,1.28E+09,43024.96
1-Dec-25,14642.65,14642.65,14538.7,14571.35,1.58E+09,43684.64
2-Dec-25,14536.1,14575.15,14485.4,14508.95,2.14E+09,55963.05
3-Dec-25,14501.45,14524.9,14400.8,14444.4,2.20E+09,51259.47
4-Dec-25,14446.4,14511.6,14427.6,14466.4,2.09E+09,49722.55
5-Dec-25,14452.45,14550.25,14435.75,14541.65,1.82E+09,50658.11
8-Dec-25,14531.3,14542.1,14328.35,14368.05,1.83E+09,56807.98
9-Dec-25,14318.35,14376.25,14214.85,14341.35,1.87E+09,58120.61
10-Dec-25,14356.85,14406.5,14265.2,14277.45,1.45E+09,46645.33
11-Dec-25,14285.05,14376.2,14243.3,14366.15,1.90E+09,42991.38
12-Dec-25,14407.8,14476.5,14399.3,14469.3,2.04E+09,47138.47
15-Dec-25,14419.3,14469.3,14382.35,14461.9,1.92E+09,39902.48
16-Dec-25,14429.9,14438.1,14350.85,14368.35,1.51E+09,46002.15
17-Dec-25,14386.25,14410.75,14302.3,14331.25,1.37E+09,42809.43
18-Dec-25,14311.65,14375.05,14260.8,14332.05,1.61E+09,44693.5
19-Dec-25,14377.5,14442.55,14367.9,14436.1,2.33E+09,68822.31
22-Dec-25,14484.7,14555.15,14474.15,14549.6,1.83E+09,50619.44
23-Dec-25,14571.25,14583.45,14519.95,14558.5,1.80E+09,42961.4
24-Dec-25,14561.4,14594.45,14515.75,14525.4,1.29E+09,37810.92
26-Dec-25,14517.25,14546.45,14462.4,14481.5,1.36E+09,37077.02
29-Dec-25,14495.35,14510.8,14408.8,14420.65,1.47E+09,44647.26
30-Dec-25,14418.15,14438.8,14377.85,14416.45,2.38E+09,86835.43
31-Dec-25,14440.8,14564.7,14440.15,14533.5,4.28E+09,48377.56
1-Jan-26,14560.7,14571.25,14518.4,14560.25,3.99E+09,47016.89
2-Jan-26,14574.75,14682.45,14565.7,14677.15,2.60E+09,53473.18
5-Jan-26,14688.85,14700.95,14607,14642.9,2.09E+09,53958.2
6-Jan-26,14626.6,14663.3,14574,14615.75,1.81E+09,63262.8
7-Jan-26,14605.75,14638.4,14571,14615.85,1.58E+09,60553.66
8-Jan-26,14600.8,14611.7,14408.25,14421.05,2.03E+09,60026.71
9-Jan-26,14402.1,14468.75,14266.9,14306.95,3.63E+09,62229.35
12-Jan-26,14304.1,14366.05,14163.2,14352.1,2.11E+09,55656.36
13-Jan-26,14408.55,14413.35,14231.85,14319.85,2.01E+09,59770.1
14-Jan-26,14281.55,14363.35,14267.8,14309.4,1.92E+09,63894.63
16-Jan-26,14326.75,14428.3,14306.4,14326.6,2.01E+09,74075.84
19-Jan-26,14303.45,14304.8,14233.3,14270.95,1.91E+09,63465.11
20-Jan-26,14266.6,14268.35,13988.5,14023.95,2.07E+09,65507.54
21-Jan-26,13974.15,14052.8,13812.55,13959.55,2.51E+09,70271.95
22-Jan-26,14067.3,14146.35,13991.15,14063.9,1.83E+09,68360.14
23-Jan-26,14100.9,14101.6,13872.2,13889.1,1.83E+09,68553.98
27-Jan-26,13916.2,14003.8,13816.75,13964.3,2.17E+09,88988.97
28-Jan-26,14012.1,14123.45,14001.2,14111.95,2.13E+09,79627.81
29-Jan-26,14121.35,14167.2,14013.9,14151.1,2.52E+09,88166.94
30-Jan-26,14061.5,14117.05,14019.4,14093.05,3.30E+09,88644.11
1-Feb-26,14089.75,14151.6,13637.85,13805.8,2.03E+09,65929.07
2-Feb-26,13797.65,13965.5,13696.15,13949.75,2.02E+09,70101.79
3-Feb-26,14584.9,14613.55,14261.25,14314.45,2.93E+09,103663
4-Feb-26,14292.75,14381.35,14210.6,14361.95,1.83E+09,75804.95
5-Feb-26,14347.2,14347.7,14252.7,14294.75,1.68E+09,62583.32
6-Feb-26,14270.1,14323.55,14182.25,14316,1.70E+09,64484.97
9-Feb-26,14418,14448.15,14374.85,14441.9,1.76E+09,61583.23
10-Feb-26,14481.25,14507.7,14443.6,14483.45,1.60E+09,67016.21
11-Feb-26,14516.6,14519.25,14459.4,14502.15,1.99E+09,63274.99
12-Feb-26,14481.75,14481.75,14385.6,14425.5,1.66E+09,69569.9
13-Feb-26,14298.95,14313.25,14205.75,14221.9,1.51E+09,74336
16-Feb-26,14184.35,14342.7,14150.1,14333.65,1.19E+09,47430.24
17-Feb-26,14314.45,14382.9,14281.6,14367.2,1.22E+09,51842.47
18-Feb-26,14384.75,14435.65,14331.65,14429.2,1.29E+09,48244.22
19-Feb-26,14455.2,14458.4,14173.75,14211.95,1.22E+09,50512.02
20-Feb-26,14184.4,14325.7,14172.2,14280.85,1.23E+09,52950.33
23-Feb-26,14336.85,14380.45,14274.75,14331,1.99E+09,59403.91
24-Feb-26,14290.45,14290.45,14134.65,14214.45,1.87E+09,70848.73
25-Feb-26,14264.75,14336.7,14225.25,14268.65,1.61E+09,66904.38
26-Feb-26,14306.5,14328.6,14230.15,14297.55,1.82E+09,65057.68
27-Feb-26,14281.35,14288.15,14101.75,14121.05,2.70E+09,94016.29
2-Mar-26,13769.9,14019.45,13764.6,13931.3,2.01E+09,75119.66
4-Mar-26,13682.35,13743.55,13600.3,13678.05,2.10E+09,84428.62
5-Mar-26,13755.85,13894.9,13712.4,13850.45,1.94E+09,75032.39
6-Mar-26,13799.8,13841.95,13688.9,13706,1.61E+09,67155.49
9-Mar-26,13401.95,13481.85,13262.2,13456.55,1.84E+09,71156.95
10-Mar-26,13608.65,13643.9,13500.35,13617.75,1.61E+09,68150.61
11-Mar-26,13617.45,13666.4,13395.95,13415.7,1.51E+09,63452.54
12-Mar-26,13318.05,13420.9,13217.65,13317.8,2.11E+09,79805.89
13-Mar-26,13231.15,13247.5,12995.95,13018.25,2.16E+09,76833.74
16-Mar-26,12998.25,13162.25,12865.5,13103.6,2.11E+09,77628.2
17-Mar-26,13154.6,13247.2,13069.85,13209.35,1.71E+09,63197.61
18-Mar-26,13239.05,13396.35,13236.1,13351.15,1.62E+09,59778.12
19-Mar-26,13064.1,13133.1,12874.1,12918.65,1.96E+09,71225.08
20-Mar-26,12990.65,13129.2,12964.55,12985.4,2.36E+09,89018.93
23-Mar-26,12830.6,12839.55,12568.75,12594.3,2.19E+09,74856.87
24-Mar-26,12819.4,12912,12647.4,12832.9,1.95E+09,74790.82
25-Mar-26,12934,13157.6,12933.65,13072.6,1.83E+09,75082.62
27-Mar-26,12999.1,13003.9,12782.15,12789.2,2.43E+09,94867.79
30-Mar-26,12630.6,12715.9,12468,12492.1,2.54E+09,98236.94
1-Apr-26,12820.3,12864.3,12680.4,12720.35,2.22E+09,83566.36
